Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Severity,Safety_Score,Days_Since_Inspection,Total_Safety_Complaints,Control_Metric,Turbulence_In_gforces,Cabin_Temperature,Accident_Type_Code,Max_Elevation,Violations,Adverse_Weather_Metric,Accident_ID
3/4/17,,"Near Gent, Belgium",Military - German Army,,,Airship,,,20,20,0,Caught fire and crashed.,Significant_Damage_And_Serious_Injuries,42.8767123,12,14,68.9608022,0.15960404,77.23,3,44697.8687,3,0.22251011,3629
3/30/17,,Off Northern Germany,Military - German Navy,,,Schutte-Lanz S-L-9 (airship),,,23,23,0,Struck by lightning and crashed into the BaltiSea.,Significant_Damage_And_Fatalities,63.652968,13,4,78.6690975,0.23208871,80.78,7,30882.7264,3,0.00256728,2451
5/14/17,5:15,"Near Texel Island, North Sea",Military - German Navy,,,Zeppelin L-22 (airship),,,21,21,0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",Highly_Fatal_And_Damaging,26.0273973,14,2,83.5460346,0.36299387,81.63,3,18915.509,2,0.09580592,4028
6/14/17,8:45,"Off Vlieland Island, North Sea",Military - German Navy,,,Zeppelin L-43 (airship),,,24,24,0,Shot down by British aircraft.,Highly_Fatal_And_Damaging,49.5890411,7,1,85.5515041,0.27031446,78.86,3,25083.6579,2,0.12376106,10493
8/21/17,7:00,Off western Denmark,Military - German Navy,,,Zeppelin L-23 (airship),,,18,18,0,Shot down by British aircraft.,Highly_Fatal_And_Damaging,10.8675799,18,1,68.0036463,0.30962207,82.08,6,47893.718,3,0.01124153,20
10/20/17,7:45,"Near Luneville, France",Military - German Navy,,,Zeppelin L-44 (airship),,,18,18,0,Shot down by French anti-aircraft fire.,Significant_Damage_And_Fatalities,38.7671233,10,4,37.8304467,0.60028201,80.82,4,35910.2004,1,0.06651457,2064
4/7/18,21:30,Over the Mediterranean,Military - German Navy,,,Zeppelin L-59 (airship),,,23,23,0,Exploded and crashed into the sea off the southern coast of Italy.,Significant_Damage_And_Fatalities,78.2191781,8,3,61.4858706,0.33811107,82.2,2,34354.1112,2,0.46251446,2765
5/10/18,,"Off Helgoland Island, Germany",Military - German Navy,,,Zeppelin L-70 (airship),,,22,22,0,"Shot down by British aircraft crashing from a height of 17,000 ft.",Significant_Damage_And_Fatalities,20.2283105,15,2,41.5679125,0.68719149,78.37,2,11503.3886,1,0.15978429,2938
8/11/18,10:00,"Ameland Island, North Sea",Military - German Navy,,,Zeppelin L-53 (airship),,,19,19,0,Shot down by british aircraft.,Minor_Damage_And_Injuries,52.4657534,13,0,73.2452142,0.22199135,81.62,2,39835.7183,1,0.53886234,10309
12/16/18,,"Elizabeth, New Jersey",US Aerial Mail Service,,,De Havilland DH-4,97,,1,1,0,,Minor_Damage_And_Injuries,38.4474886,17,5,74.9316317,0.32657122,79.31,2,37435.5728,2,0.50848626,3918
5/25/19,,"Cleveland, Ohio",US Aerial Mail Service,,,De Havilland DH-4,61,,1,1,0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,Highly_Fatal_And_Damaging,44.8401827,8,2,80.5834093,0.24975911,78.21,4,45783.5277,0,0.0839918,4830
7/19/19,,"Dix Run, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,82,,1,1,0,,Minor_Damage_And_Injuries,43.8812785,15,1,68.0036463,0.33847169,78.97,1,45541.2368,2,1.66486419,6630
10/2/19,,"Newcastle, England",Aircraft Transport and Travel,,,De Havilland DH-4,,,1,1,0,,Significant_Damage_And_Fatalities,25.2968037,14,5,47.2652689,0.5948727,76.19,5,49288.6355,3,0.03243739,11434
10/14/19,,"Cantonsville, Maryland",US Aerial Mail Service,,,Curtiss R-4LM,32,,1,1,0,,Significant_Damage_And_Fatalities,61.826484,13,7,66.1349134,0.42321745,78.07,6,42607.0711,1,0.01060666,10987
10/20/19,,English Channel,Aircraft Transport and Travel,,,De Havilland DH-4,G-EAHG,,,,,,Significant_Damage_And_Fatalities,59.2694064,14,3,61.6226071,0.33198053,90.87,7,32342.3134,3,0.00302208,8830
10/30/19,,"Long Valley, New Jersey",US Aerial Mail Service,,,De Havilland DH.4,77,,1,1,0,,Highly_Fatal_And_Damaging,24.3378995,14,0,70.7839562,0.26779012,76.75,4,26538.3223,1,0.04862599,2237
3/10/20,,"New Paris, Indiana",US Aerial Mail Service,,,De Havilland DH-4,65,,1,1,0,,Significant_Damage_And_Fatalities,55.0228311,15,9,70.3281677,0.51229066,77.03,7,28451.0147,0,0.00291566,4196
3/30/20,,"Newark, New Jersey",US Aerial Mail Service,,,De Havilland DH-4,72,,1,1,0,,Highly_Fatal_And_Damaging,65.7534247,5,20,48.1312671,0.63814713,79.75,3,39150.6722,1,0.19486963,4755
4/10/20,,"Newark, New Jersey",US Aerial Mail Service,,,Curtiss R-4LM,49,,2,1,0,,Minor_Damage_And_Injuries,68.7671233,8,2,74.6581586,0.33450487,78.78,5,15868.4439,2,0.01077493,5438
4/11/20,,"Heller Field, New Jersey",US Aerial Mail Service,,,Curtiss JN-4H,44,,2,1,0,,Minor_Damage_And_Injuries,32.6484018,15,1,48.6326345,0.4311511,78.29,4,35960.9764,2,0.06573289,6012
5/12/20,,"Oskaloosa, Iowa",US Aerial Mail Service,,,De Havilland DH-4,79,,2,1,0,,Highly_Fatal_And_Damaging,48.3561644,7,2,76.7547858,0.29303354,77.27,4,41509.5453,3,0.0758299,8779
6/6/20,,"Cleveland, Ohio",US Aerial Mail Service,,,De Havilland DH-4,204,,1,1,0,,Highly_Fatal_And_Damaging,53.9269406,12,5,44.7128532,0.57107176,78.7,5,28579.1661,1,0.01819783,9273
8/16/20,,"Bedford, England",By Air,,,Armstrong-Whitworth F-K-8,G-EALW,,1,1,0,,Significant_Damage_And_Serious_Injuries,54.7488585,9,28,60.6198724,0.52743671,79.42,7,52249.6102,3,0.00460286,9173
8/16/20,,"College Park, Maryland",US Aerial Mail Service,,,De Havilland DH-4,317,,1,1,0,,Significant_Damage_And_Fatalities,14.520548,17,3,55.6061987,0.30998269,77.18,2,31365.2396,3,0.42448236,6809
9/1/20,,"Morristown, New Jersey",US Aerial Mail Service,,,Junkers JL-6,305,,2,2,0,,Significant_Damage_And_Fatalities,40.8219178,9,7,41.0209663,0.543304,76.8,1,45255.7007,2,1.70002689,7462
9/15/20,,"Pemberville, Ohio",US Aerial Mail Service,,,Junkers F-13,308,,2,2,0,,Significant_Damage_And_Serious_Injuries,43.652968,12,2,59.6627165,0.42213559,81.86,6,37571.9051,0,0.00964423,382
9/27/20,,"Hillersburg, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,316,,1,1,0,,Minor_Damage_And_Injuries,75.9817352,6,12,67.8669098,0.35253588,81.26,2,28213.4276,4,0.38245319,5152
10/2/20,,"Off Port Vendres, France",Latecoere Airlines,,,Salmson 2-A-2,F-ALAI,31,2,2,0,,Minor_Damage_And_Injuries,40,13,8,49.8632635,0.35722395,78.62,6,46457.4404,3,0.01154537,8616
10/5/20,,"Valencia, Spain",Latecoere Airlines,,,Breguet 14,F-ALTA,20,2,2,0,Crashed while landing.,Minor_Damage_And_Injuries,47.8995434,14,1,97.9945305,0.20900902,77.52,2,21526.3243,2,0.30011362,6514
10/15/20,,"Batavia, Illinois",US Aerial Mail Service,,,De Havilland DH-4,76,,1,1,0,,Highly_Fatal_And_Damaging,32.5570776,12,9,68.9608022,0.30998269,76.39,2,31195.9927,0,0.42207476,2210
11/7/20,,"Tie Siding, Wyoming",US Aerial Mail Service,,,De Havilland DH-4,,178,1,1,0,,Highly_Fatal_And_Damaging,44.7945206,8,2,68.9152233,0.15167039,76.89,4,36156.8264,0,0.06649638,5783
12/14/20,,"Cricklewood, England",Handley Page Transport,,,Handley Page HP-16,G-EAMA,HP-25,8,4,0,Crashed into a tree on take off in fog.,Highly_Fatal_And_Damaging,46.2557078,7,2,67.5022789,0.2692326,75.35,4,38277.0202,0,0.07048018,4445
12/24/20,,"Barcelona, Spain",Aeropostale,,,Breguet 14,F-ALBO,,1,1,0,,Significant_Damage_And_Serious_Injuries,41.369863,13,20,61.668186,0.38787667,80.35,3,37974.6172,0,0.18927904,10051
2/3/21,,"Mendotta, Minnisota",US Aerial Mail Service,,,De Havilland DH-4,130,,1,1,0,,Minor_Damage_And_Injuries,53.652968,9,2,53.0993619,0.41023512,80,3,22418.7975,3,0.11166909,6047
2/9/21,,"La Crosse, Wisconsin",US Aerial Mail Service,,,Junkers F-13,301,,3,3,0,,Minor_Damage_And_Injuries,42.1004566,12,8,49.8632635,0.35433898,79.12,3,52513.9127,4,0.25657948,4540
2/15/21,,Off Gibraltar,Aeropostale,,,Breguet 14,F-ALBA,,2,2,0,,Significant_Damage_And_Fatalities,65.2968037,13,12,74.0656336,0.46613127,79.53,7,21079.2996,0,0.00203328,6906
2/22/21,,"Elko, Nevada",US Aerial Mail Service,,,De Havilland DH-4,67,,1,1,0,,Significant_Damage_And_Fatalities,19.4063927,15,3,53.3272562,0.26670826,75.2,4,19484.2436,3,0.0356172,7290
4/6/21,,"Point Cook, Australia",Military - Royal Australian Air Force,,,,H3021,,2,1,0,,Significant_Damage_And_Serious_Injuries,33.0593607,15,15,72.3336372,0.44233033,83.6,1,40822.7855,2,1.4843158,11278
4/21/21,,"Mitchel Field, NY",US Aerial Mail Service,,,De Havilland DH-4,160,,1,1,0,,Highly_Fatal_And_Damaging,52.6027397,13,2,47.538742,0.48776848,84.13,6,31631.2308,1,0.00811791,6499
4/29/21,,"Cleveland, Ohio",US Aerial Mail Service,,,De Havilland DH-4,196,,1,1,0,,Significant_Damage_And_Fatalities,29.6347032,13,7,48.9061076,0.51156942,77.68,4,23561.2928,2,0.0434694,2272
5/17/21,,"Rock Springs, Wyoming",US Aerial Mail Service,,,,176,,1,1,0,,Significant_Damage_And_Serious_Injuries,41.7351598,13,11,71.8778487,0.38030364,76.2,6,17443.6549,2,0.00477607,1180
7/16/21,,"San Francisco, California",US Aerial Mail Service,,,De Havilland DH-4,222,,1,1,0,,Highly_Fatal_And_Damaging,40.3652968,9,1,56.7912489,0.36443635,76.95,3,21268.8396,3,0.10639403,5780
8/14/21,,"Toulouse, France",Aeropostale,,,Breguet 14,F-ALBI,,2,2,0,,Significant_Damage_And_Serious_Injuries,30.456621,16,0,76.5268915,0.23966174,78.84,6,37178.377,2,0.00916357,12089
8/24/21,17:40,"River Humber, England",Military - Royal Airship Works,,,Royal Airship Works ZR-2 (airship),R-38,R-38,46,46,1,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.,Minor_Damage_And_Injuries,40.7762557,13,0,45.4421149,0.59811828,76.37,2,22443.8936,1,0.30687069,10487
9/6/21,,"Paris, France",Franco-Roumaine,,Varsovie - Strasbourg - Paris,Potez IX,F-ADCD,160,5,5,0,Crashed while making an approach to Le Bourget Airport in Paris.,Significant_Damage_And_Serious_Injuries,37.1689498,14,3,62.7620784,0.32909556,79.63,1,10730.4301,1,0.35922927,2835
12/5/21,,"Near Murchinson River, Australia",West Australian Airways,,,Bristol 28 Tourer,G-AUDI,6116,3,3,0,,Significant_Damage_And_Serious_Injuries,38.8127854,13,18,64.0382862,0.46721313,82.06,6,30858.5431,4,0.00802495,3697
1/14/22,,"Paris, France",Handley Page Transport,,,Handley Page O/10,G-EATN,HP-43,5,5,5,Crashed at Le Bourget field.,Minor_Damage_And_Injuries,45.2054795,11,35,56.5633546,0.4596401,81.06,6,17474.5486,1,0.00492049,1564
2/21/22,,"Near Norfolk, Virginia",Military - U.S. Army Air Service,,,Dirigible Roma (airship),,,45,34,0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,Significant_Damage_And_Serious_Injuries,24.5662101,18,6,59.6171377,0.27356004,78.16,4,31278.3865,2,0.05767147,87
4/7/22,,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,,,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7,7,0,"A midair collision occurred in poor visibility approximately 18 miles north of Beauvais, France. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",Significant_Damage_And_Serious_Injuries,43.3333333,12,3,77.5296263,0.1855687,79.76,5,14519.2419,2,0.01120496,7845
4/8/22,,"Pao Ting Fou, China",,,,,,,17,17,0,All seventeen aboard were Chinese nationals.,Significant_Damage_And_Serious_Injuries,56.6210046,8,6,85.6882407,0.15167039,78.6,6,32932.7239,2,0.00817661,6000
4/13/22,,"Brooklands, England",Vickers,,,Vickers Viking,G-EBBZ,,3,3,0,,Highly_Fatal_And_Damaging,42.6484018,9,0,58.7055606,0.25661089,81.16,1,31380.1439,1,1.16318213,3168
10/1/25,,"Nittany Mt, Ohio",US Aerial Mail Service,,,De Havilland DH-4,385,,1,1,0,,Minor_Damage_And_Injuries,49.086758,14,4,68.094804,0.2941154,79.63,1,26992.7869,1,0.99143347,11015
6/3/22,,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,,,Bleriot Spad 27,F-CMAY,1254,3,3,0,,Highly_Fatal_And_Damaging,33.5159817,11,2,61.4858706,0.44413343,75.21,4,25794.5809,3,0.04715714,1459
7/26/22,,"Cadix, Spain",Grands Express Aeriens,,,Breguet 14,,,3,3,0,,Highly_Fatal_And_Damaging,25.2968037,14,3,83.8195078,0.3013278,81.94,4,25111.1749,2,0.04604589,7285
9/7/22,,"Indianapolis, Indiana",US Aerial Mail Service,,,De Havilland DH-4,227,,1,1,0,,Significant_Damage_And_Serious_Injuries,37.3972603,14,1,79.76299,0.36083015,78.39,6,49758.6415,2,0.01289533,3269
10/2/22,,"Venice, Italy",,,,de Havilland DH-9,G-EAYT,,4,4,0,,Highly_Fatal_And_Damaging,13.6986301,17,5,62.6709207,0.25841399,79.85,2,37474.0742,1,0.50921559,2453
10/25/22,,"Larache, Morocco",Grands Express Aeriens,,,Breguet 14,,,2,2,0,,Minor_Damage_And_Injuries,53.9269406,12,14,49.3163172,0.42105373,86.42,1,37120.1717,3,1.35839613,10724
12/3/22,,"Fez, Morocco",Grands Express Aeriens,,,Breguet 14,,,1,1,0,,Significant_Damage_And_Serious_Injuries,48.630137,11,4,79.76299,0.25516841,82.66,3,34032.096,0,0.17026559,11302
1/10/23,,"Ajaccio, France",Amee de l'Air,,,Lioré-et-Olivier H-13,F-AEIB,,4,3,0,,Significant_Damage_And_Serious_Injuries,52.4657534,9,0,58.9334549,0.42538118,78.75,3,29213.841,0,0.14544715,5524
1/17/23,,"Barcelona, Spain",Grands Express Aeriens,,,Breguet 14,F-ALJU,,1,1,0,,Significant_Damage_And_Serious_Injuries,48.4474886,10,27,64.4940748,0.36876379,88.27,6,35818.6532,2,0.00857348,2415
1/18/23,,"Cheyenne, Wyoming",US Aerial Mail Service,,,De Havilland DH-4,223,,1,1,0,,Significant_Damage_And_Fatalities,38.3105023,11,1,49.5442115,0.51553624,79.89,4,47541.0051,3,0.08699134,3318
2/26/23,,"Meadville, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,291,,1,1,0,,Significant_Damage_And_Fatalities,58.9954338,14,7,73.01732,0.3208013,82.49,7,52189.5365,0,0.0044929,4950
5/14/23,,"Monsures, France",Grands Express Aeriens,,,Farman F-60 Goliath,F-AEBY,,6,6,0,,Highly_Fatal_And_Damaging,45.3881279,15,3,52.5068368,0.52094555,77.33,2,47423.3861,1,0.63948063,8485
8/27/23,,"Bucharest, Romania",Campagnie France Roumaine,,,Blériot Spad 46,F-AEGN,,2,2,0,,Highly_Fatal_And_Damaging,30.6392694,12,6,74.247949,0.23280995,76.02,1,32791.8422,3,1.21223592,9552
9/7/23,,"Colton, Ohio",US Aerial Mail Service,,,De Havilland DH-4,283,,1,1,0,,Highly_Fatal_And_Damaging,13.7899543,17,0,62.6709207,0.30096718,79.84,3,41118.8207,3,0.20368665,1318
9/14/23,,"Berks, England",Daimler Airways,,,de Havilland DH-34,G-EBBS,29,6,6,0,,Significant_Damage_And_Serious_Injuries,39.4977169,13,6,78.0309936,0.38102488,78.28,3,39523.6658,2,0.19665479,11038
11/18/23,,Russia,CCCP,,,Junkers F-13,D-257,,4,2,0,,Significant_Damage_And_Serious_Injuries,39.1780822,13,7,70.875114,0.4239387,78.59,3,33528.5134,3,0.16876079,24
12/6/23,,"Castalia, Ohio",US Aerial Mail Service,,,De Havilland DH-4,318,,1,1,0,,Minor_Damage_And_Injuries,56.8493151,11,18,76.98268,0.29447602,87.05,2,30950.3913,3,0.42055479,8932
12/23/23,2:30,Over the Mediterranean Sea,Military - French Navy,,Toulon - Algiers,Zeppelin Dixmunde (airship),L-72,,52,52,0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.",Minor_Damage_And_Injuries,58.4474886,11,5,64.8131267,0.32909556,83.45,2,36844.4612,3,0.49916782,10990
12/24/23,,"Egbert, WY",US Aerial Mail Service,,,De Havilland DH-4,315,,1,1,0,,Highly_Fatal_And_Damaging,19.7716895,15,7,57.657247,0.42862676,78.13,1,18584.9907,2,0.68051498,11035
3/7/24,,"Grampian, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,327,,1,1,0,,Significant_Damage_And_Serious_Injuries,51.6894977,10,1,72.5615315,0.38715543,78.56,3,45213.5077,1,0.22405181,7291
4/24/24,,Over the English Channel,KLM Royal Dutch Airlines,,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,1535,3,3,0,,Highly_Fatal_And_Damaging,27.8082192,13,5,65.1321787,0.39004039,78.66,7,26744.8668,2,0.00219576,1208
6/8/24,,"Barranquilla, Colombia",SCADTA,,,Junkers F-13,A16,,3,3,0,,Highly_Fatal_And_Damaging,23.4246575,15,10,71.1941659,0.35145402,79.58,4,42336.481,2,0.07768469,10362
8/1/24,,United States,US Aerial Mail Service,,,De Havilland DH-4,297,,1,1,0,,Significant_Damage_And_Serious_Injuries,62.5114155,13,0,49.0428441,0.54366462,78.46,7,15180.0318,1,0.00103595,1159
11/6/24,,"Cabrerolles, France",Grands Express Aeriens,,,,F-AFBD,,1,1,0,,Significant_Damage_And_Serious_Injuries,54.2465753,5,4,73.2907931,0.2443498,77.95,3,34497.644,1,0.17026559,9071
12/21/24,,"Goshen, Indiana",US Aerial Mail Service,,,De Havilland DH-4,311,,1,1,0,,Minor_Damage_And_Injuries,33.1050228,18,5,68.7784868,0.26526578,78.17,1,35553.1858,2,1.30833973,5386
12/24/24,,"Purley, England",Imperial Airways,,,de Havilland DH-34B,G-EBBX,36,8,8,0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing.",Significant_Damage_And_Fatalities,26.2557078,14,2,55.7429353,0.30385215,79.25,4,41817.9806,3,0.07588673,1330
3/22/25,,"Near Tiflies, Georgia, USSR",Zakavia,,,Junkers F-13,R-RECA,590,5,5,0,,Highly_Fatal_And_Damaging,30.7762557,20,2,56.8368277,0.30349153,84.76,6,50122.0198,3,0.01227257,3108
4/25/25,,"Alicante, Spain",Grands Express Aeriens,,,Breguet 14,,,4,4,0,,Significant_Damage_And_Fatalities,48.630137,17,1,69.644485,0.30313091,76.94,7,33771.9963,2,0.00302253,1119
5/25/25,,"Alicante, Spain",Lignes Aeriennes Latecoere,,,Breguet 14,F-AFBB,,2,2,0,,Highly_Fatal_And_Damaging,30.3196347,12,0,68.6417502,0.41348071,81.48,4,46371.5275,2,0.08526585,10252
6/25/25,,"Landrécies, France",KLM Royal Dutch Airlines,,,Fokker (KLM)  F.III,H-NABM,KLM-2,4,4,0,Crashed in poor weather.,Significant_Damage_And_Fatalities,23.1050228,14,22,37.5113947,0.57792355,79.74,1,38783.3566,3,1.41925629,1491
6/26/25,,"Alicante, Spain",Grands Express Aeriens,,,Lioré-et-Olivier H-13,F-AHBH,,2,2,0,,Significant_Damage_And_Serious_Injuries,29.086758,16,2,81.1759344,0.2371374,77.38,6,29575.3517,3,0.00748354,7003
7/20/25,,"Rosas, Spain",Lignes Aeriennes Latecoere,,,Breguet 14,F-AFBI,,1,1,0,,Significant_Damage_And_Fatalities,59.543379,14,15,70.556062,0.23966174,78.7,7,27171.7747,1,0.00216518,12066
7/24/25,,"Budapest, Hungary",CIDNA,,,Potez IX,,,1,1,0,,Significant_Damage_And_Fatalities,27.8538813,13,5,53.6007293,0.47226181,78.49,4,24068.4259,2,0.04388456,8060
9/3/25,5:30,"Caldwell, Ohio",Military - U.S. Navy,,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),ZR-1,,43,14,0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon.",Highly_Fatal_And_Damaging,20.9589041,15,9,79.3983592,0.2674295,77.1,4,20146.9173,3,0.03794908,9682
9/7/25,,"Toul, France",CIDNA,,,,,,3,3,0,,Highly_Fatal_And_Damaging,58.3105023,11,4,54.922516,0.40518644,76.09,2,32793.2572,1,0.44231498,2002
11/14/25,,"Off Boulogne-sur-Mer, France",Air Union,,,Farman F-60 Goliath,F-AMFY,,2,2,0,,Significant_Damage_And_Serious_Injuries,45.7534247,11,17,59.0246126,0.31142517,85.61,6,25813.3805,3,0.00609429,10816
2/12/26,,"Montpelier, Ohio",US Aerial Mail Service,,,Curtiss Carrier Pigeon,,,1,1,0,,Minor_Damage_And_Injuries,46.5753425,14,1,64.6308113,0.31647386,79.72,2,30063.6622,1,0.40693396,8394
3/8/26,,"Staaken, Germany",Deutche Lufthansa,,,Junkers F-13,,,1,1,0,,Minor_Damage_And_Injuries,45.2968037,15,3,76.7547858,0.21550018,78.31,2,22004.4704,2,0.29287279,5069
5/31/26,,English Channel,Air Union,,,Breguet 14,F-ADAI,,1,1,0,,Significant_Damage_And_Fatalities,40.5479452,20,14,50.3646308,0.3546996,77.62,2,45105.8414,2,0.61774487,4507
7/3/26,,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,,Paris - Prague,Caudron C-61,F-AFBT,5307,7,7,0,Crashed while en route.,Minor_Damage_And_Injuries,57.5799087,11,4,61.3947129,0.54835269,80.98,2,20134.1452,2,0.27094489,4835
7/9/26,,"Wolvertem, Belgium",KLM Royal Dutch Airlines,,,Fokker F-4,H-NACC,4759,2,2,0,,Highly_Fatal_And_Damaging,32.1461187,12,5,73.5186873,0.40410458,76.02,1,37060.2236,3,1.35839613,6589
7/24/26,,"Juist, Germany",Deutsche Lufthansa,,,Junkers F-13,D-272,660,4,4,0,Weather related.,Significant_Damage_And_Serious_Injuries,31.5981735,15,2,61.5770283,0.3492903,83.19,1,23728.3517,2,0.87040965,8956
8/18/26,,"Hurst, Kent, England",Air Union,,,Bleriot 155,F-AIEB,2,4,4,0,Crashed in adverse weather conditions.  Engine failure.,Significant_Damage_And_Fatalities,20.2283105,15,1,56.1531449,0.52346989,77.04,4,36683.4599,1,0.06789051,6418
9/26/26,,"New York, New York",,,New York - Paris,Sikorsky S-25,,,5,2,0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantipassenger flight.,Significant_Damage_And_Fatalities,26.2100457,14,3,56.1531449,0.78455896,82.75,1,48583.5486,3,1.78191384,1739
